domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
absalon.sk,UXSO-0001,H691259,OK,mona.ns.cloudflare.com,amit.ns.cloudflare.com,,,03.03.2021
asianaglobal.sk,SECU-0026,SECU-0026,OK,amit.ns.cloudflare.com,beth.ns.cloudflare.com,,,06.10.2019
assettravel.sk,CREO-0007,ASSETTRAVEL,OK,ns1.orion.creodat.net,ns2.orion.creodat.net,ns3.orion.creodat.net,,22.01.2020
astro.sk,TRON-0005,TRON-0005,OK,auriga.ta3.sk,sun.uakom.sk,cygnus.ta3.sk,lyra.ta3.sk,02.06.2020
auto-drogeria.sk,MART-2448,MART-2448,OK,ns0.1984.is,ns1.1984hosting.com,ns1.1984.is,ns2.1984hosting.com,31.07.2019
autodrogeria.sk,MART-2448,MART-2448,OK,ns0.1984.is,ns1.1984hosting.com,ns1.1984.is,ns2.1984hosting.com,31.07.2019
avipro.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,07.05.2020
budaj.sk,CREO-0007,PETER,OK,ns1.creodat.com,ns2.creodat.com,ns3.creodat.com,,02.11.2019
budajova.sk,CREO-0007,MARTINA,OK,ns1.creodat.com,ns2.creodat.com,ns3.creodat.com,,27.02.2020
cattery.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,26.02.2020
catterymanager.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,26.02.2020
ceoi.sk,ZTRO-0001,ZTRO-0001,OK,ns-cloud-e1.googledomains.com,ns-cloud-e2.googledomains.com,ns-cloud-e3.googledomains.com,ns-cloud-e4.googledomains.com,26.01.2020
creodat.sk,CREO-0007,PETER,OK,ns1.creodat.com,ns2.creodat.com,ns3.creodat.com,,07.06.2019
datax.sk,MARE-0397,MARE-0397,OK,gw5.datax.sk,gw6.datax.sk,,,17.08.2019
dennikrelax.sk,QDIG-0003,TRAD-0012,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,02.12.2019
devops.sk,GRAN-0063CZ,sub_024496,OK,ns.bitfire.sk,ns2.bitfire.sk,,,21.12.2019
dobrakniha.sk,QDIG-0003,PROV-0005,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,06.11.2019
ecclesia.sk,QDIG-0003,CHRI-0001,OK,ns1.q7.sk,ns2.q7.sk,,,26.07.2019
elektriker.sk,MART-2448,MART-2448,OK,ns0.1984.is,ns1.1984hosting.com,ns1.1984.is,ns2.1984hosting.com,15.07.2019
epicfail.sk,FAIL-0001,MRIO-0116,OK,ns1.epicfailhosting.sk,ns2.epicfailhosting.sk,,,08.02.2021
euro-server.sk,REG-379549,sub_1001399,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,24.09.2019
ezbierka.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,27.12.2020
felistirnavia.sk,UXSO-0001,H691253,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,02.03.2020
fixo.sk,ZERO-0008,H342955,OK,ns1.zeroone.sk,ns2.zeroone.sk,ns3.zeroone.sk,ns4.zeroone.sk,29.03.2020
freeweb.sk,WEBS-0001,WEBS-0001,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,10.03.2020
g3.sk,GRAN-0063CZ,TIBO-0065-4143,OK,ns.bitfire.sk,ns2.bitfire.sk,,,22.09.2019
gamicomp.sk,WEBG-0001,GAMI-0008,OK,ns.webglobe.sk,ns2.webglobe.sk,ns3.webglobe.sk,,07.02.2020
grass.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,29.10.2020
hastropy.sk,QDIG-0003,HOTE-0060,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,22.03.2020
homewinery.sk,UXSO-0001,H691261,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,05.06.2020
host.sk,SECU-0026,SECU-0026,OK,amit.ns.cloudflare.com,beth.ns.cloudflare.com,,,24.01.2021
hudobnydestilat.sk,TOMI-0041,TOMI-0023,OK,anastasia.ciernik.sk,katarina.ciernik.sk,,,15.07.2019
huhuhu.sk,REG-509429,SK-NIC-REG,OK,ns1.brano.sk,ns2.brano.sk,,,15.10.2028
iceweb.sk,WEBG-0001,RUDO-0071,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,12.07.2019
kamnamenu.sk,QDIG-0003,QDIG-0003,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,04.09.2019
kbs.sk,QDIG-0003,KONF-0001,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,16.05.2020
kewl.sk,GRAN-0063CZ,TIBO-0065-4143,OK,ns.bitfire.sk,ns2.bitfire.sk,,,22.09.2019
kingsmen.sk,WEBG-0001,WY-98010,OK,ns1.wy.sk,ns2.wy.sk,ns1.wydns.net,ns2.wydns.net,20.03.2020
kopytko.sk,CREO-0007,PETER,OK,ns1.creodat.com,ns2.creodat.com,ns3.creodat.com,,31.10.2019
kralovskyrizling.sk,UXSO-0001,H691261,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,15.04.2020
ligasovci.sk,TOMI-0041,H360959,OK,anastasia.ciernik.sk,katarina.ciernik.sk,,,25.09.2019
lopit.sk,UXSO-0001,UXSO-0001,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,25.04.2020
lublau.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,30.01.2020
magicalessence.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,18.01.2020
magicpleasure.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,04.01.2020
martinszabo.sk,MART-2448,MART-2448,OK,ns0.1984.is,ns1.1984hosting.com,ns1.1984.is,ns2.1984hosting.com,13.05.2020
maryport.sk,TOMI-0041,TOMI-0023,OK,anastasia.ciernik.sk,katarina.ciernik.sk,,,09.04.2020
masaryk.sk,REG-379549,MMIL-0001-0001,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,12.10.2019
masarykova.sk,REG-379549,MMIL-0001-0001,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,21.10.2019
maximko.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,11.11.2020
michalcech.sk,WEBS-0001,WS-51833,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,14.04.2020
microwave.sk,DIGI-0056,H518307,OK,a.ns.satro.sk,ns2.satro.sk,ns1.satro.sk,,31.01.2020
mipe.sk,WEBG-0001,WY-104859,OK,ns1.wy.sk,ns2.wy.sk,ns1.wydns.net,ns2.wydns.net,25.09.2019
mission.sk,WEBG-0001,MISS-0002,OK,ns.webglobe.sk,ns2.webglobe.sk,ns3.webglobe.sk,,10.01.2020
motus.sk,WEBG-0001,MATE-0001,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,18.07.2027
msw.sk,MART-2448,MART-2448,OK,ns0.1984.is,ns1.1984hosting.com,ns1.1984.is,ns2.1984hosting.com,02.12.2019
nethost.sk,NETH-0005,NETHOST,OK,sns.nethost.sk,dns.nethost.cz,tns.nethost.eu,,16.01.2021
pampeliska.sk,ZERO-0008,H342955,OK,ns1.zeroone.sk,ns2.zeroone.sk,ns3.zeroone.sk,ns4.zeroone.sk,24.07.2019
privatnavinnacesta.sk,UXSO-0001,H691261,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,05.05.2020
profithunterscoin.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,16.03.2020
propistour.sk,UXSO-0001,UXSO-0001,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,20.03.2020
q7.sk,QDIG-0003,QDIG-0003,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,13.01.2020
rainbowpaws.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,21.06.2020
regtons.sk,GRAN-0063CZ,sub_000050,OK,ns.gransy.com,ns2.gransy.com,ns3.gransy.com,ns4.gransy.com,28.02.2020
repre.sk,QDIG-0003,REPR-0017,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,27.10.2019
rupkki.sk,RUPK-0001,RUPK-0001,OK,ns1.rupkki.sk,ns2.rupkki.sk,,,14.06.2019
sabiovet.sk,GRAN-0063CZ,sub_1131059,OK,ns1.hosting90.cz,ns2.hosting90.cz,ns3.hosting90.net,,02.05.2020
salstar.sk,PCHS-0001,JNON-0015,OK,ns.salstar.sk,ns.upjs.sk,,,06.04.2027
santavy.sk,QDIG-0003,PETE-0003,OK,ns1.q7.sk,ns2.q7.sk,,,27.03.2022
securcom.sk,SECU-0026,SECU-0026,OK,amit.ns.cloudflare.com,beth.ns.cloudflare.com,,,01.05.2020
sluka.sk,REG-379549,KLIK-0001,OK,ns1.webdom.sk,ns2.webdom.sk,ns3.webdom.sk,,19.04.2020
sportliga.sk,WEBG-0001,DVID-0072,OK,ns.webglobe.sk,ns2.webglobe.sk,ns3.webglobe.sk,,03.06.2019
sri.sk,TREX-0001,TREX-0001,OK,becky.ns.cloudflare.com,jay.ns.cloudflare.com,,,05.04.2020
stara.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,09.01.2020
studujvedu.sk,UNIV-0040,UNIV-0040,OK,ns.ukf.sk,ns2.ukf.sk,ns3.ukf.sk,,26.01.2029
stuff.sk,STUF-0001,MARE-0387,OK,ns1.stuffnet.sk,ns2.stuffnet.sk,,,10.11.2019
suda.sk,GRAN-0063CZ,sub_934002,OK,ns1.adminator.cz,ns2.adminator.cz,ns3.adminator.cz,,22.07.2019
svetmaciek.sk,UXSO-0001,H691257,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,26.02.2020
teleosetrovatelstvo.sk,UNIV-0040,UNIV-0040,OK,ns.ukf.sk,ns2.ukf.sk,ns3.ukf.sk,,17.02.2020
terroir.sk,UXSO-0001,H691261,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,20.05.2020
testovacia.sk,WEBS-0001,WS-5066,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,24.07.2019
textlink.sk,ZONE-0002,ZONERSK-1001856,OK,ns1.regzone.cz,ns1.regzone.info,ns1.regzone.de,,26.10.2019
thinline.sk,GRAN-0063CZ,sub_082372,OK,ns1.thinline.cz,ns2.thinline.cz,ns3.cesky-hosting.eu,,06.04.2020
tkkbs.sk,QDIG-0003,KONF-0001,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,03.02.2020
topserver.sk,REG-379549,REG-379549,OK,ns2.webdom.sk,ns3.webdom.sk,,,05.08.2019
tracocomputers.sk,QDIG-0003,TRAC-0001,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,10.10.2022
tururu.sk,UXSO-0001,H693739,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,20.02.2020
tvlux.sk,QDIG-0003,STUD-0017,OK,cheryl.ns.cloudflare.com,evan.ns.cloudflare.com,,,09.05.2020
uhlarovci.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,09.04.2020
uhlik.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,24.08.2020
ukf.sk,UNIV-0040,UNIV-0040,OK,ns.ukf.sk,ns2.ukf.sk,ns3.ukf.sk,ns1.bbnw.sk,25.09.2027
unlimitedhosting.sk,WEBS-0001,WEBS-0001,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,03.01.2020
uxsolutions.sk,UXSO-0001,UXSO-0001,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,09.11.2020
vinocentrum.sk,UXSO-0001,H691261,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,04.04.2020
vonhunady.sk,UXSO-0001,H693741,OK,amit.ns.cloudflare.com,mona.ns.cloudflare.com,,,15.10.2020
vsim.sk,SECU-0026,SECU-0026,OK,amit.ns.cloudflare.com,beth.ns.cloudflare.com,,,17.08.2019
zelenapremesto.sk,JOZE-2815,JOZE-1215,OK,ns1.avipro.sk,ns2.avipro.sk,ns3.avipro.sk,,19.04.2020
zerowastegroup.sk,SECU-0026,SECU-0026,OK,amit.ns.cloudflare.com,beth.ns.cloudflare.com,,,02.05.2020
zimen.sk,QDIG-0003,PETE-0002,OK,ns1.q7.sk,ns2.q7.sk,,,13.02.2020
zsmalleho.sk,IUJH-0001,MEST-0063,OK,ns.ehs.sk,ns2.ehs.sk,ns3.ehs.sk,,24.01.2020
